sl_no,Dist_codes,Dist_names,Rural_MPCE,Rural_MPCE_Eblup,Rural_MPSE_Var,Rural_MPCE_eblup_mse,Rural_MPCE_RSE,eblup_cv
1,1,Saharanpur,4780.727268,3643.472566,605880.6535,185367.8557,16.28169346,11.81684963
2,2,Muzaffarnagar,3999.071239,3959.782449,13259.99661,12657.51393,2.879470051,2.84120703
3,3,Bijnor,3931.603844,3846.314767,33552.97572,29931.28369,4.659032825,4.497983411
4,4,Moradabad,3566.178715,3561.796267,6755.141378,6596.435327,2.304698493,2.280266359
5,5,Rampur,4061.736227,3714.16862,248004.0036,129509.905,12.26076672,9.689243629
6,6,Jyotiba Phule Nagar,3683.229112,3658.164758,30731.13041,27698.3269,4.759491255,4.549498296
7,7,Meerut,4361.547663,4263.128041,28427.08787,25795.83552,3.865676998,3.76744068
8,8,Bagpat,4899.373247,4436.645669,132625.8435,89948.5579,7.433161232,6.759932465
9,9,Ghaziabad,4057.88218,4044.917118,8214.110499,7989.514112,2.233473671,2.209787726
10,10,Gautam Buddha Nagar,4605.524248,4493.829492,36195.91925,32233.59466,4.13095755,3.995193147
11,11,Bulandshahr,3953.260842,3909.863726,14301.5338,13605.20006,3.025072849,2.983258216
12,12,Aligarh,3621.006628,3610.332735,5902.310207,5780.35181,2.121688858,2.105861995
13,13,Mahamaya Nagar,3562.248058,3558.575573,14092.44519,13425.04691,3.332491258,3.255979881
14,14,Mathura,3566.759772,3521.658652,52361.80639,44019.21472,6.415543448,5.957634929
15,15,Agra,3604.792809,3592.837678,12272.49249,11755.8617,3.073166423,3.017794326
16,16,Firozabad,3085.634336,3101.033767,13480.06306,12861.54113,3.762716548,3.65712673
17,17,Mainpuri,3630.182717,3573.635297,54995.44523,45864.35632,6.46003508,5.992767412
18,18,Badaun,2882.576565,2892.259825,10176.51126,9819.034371,3.499601606,3.42607673
19,19,Bareilly,3652.945598,3558.010381,43811.72877,37908.14581,5.729965284,5.472163442
20,20,Pilibhit,3126.59021,3122.779697,7844.472446,7633.509567,2.832767344,2.797826504
21,21,Shahjahanpur,3354.774883,3328.167955,20582.47212,19187.02084,4.27646956,4.161966104
22,22,Kheri,3076.757676,3071.978447,11285.44424,10855.78281,3.452757179,3.391660774
23,23,Sitapur,3091.096357,3089.85756,3535.044431,3491.600604,1.923467688,1.91237836
24,24,Hardoi,2831.999449,2830.760982,4755.117041,4680.778692,2.434935385,2.416884259
25,25,Unnao,3066.494861,3069.732813,10926.95943,10515.60412,3.408846332,3.340538931
26,26,Lucknow,3235.334178,3244.245283,13130.66751,12544.43554,3.541801818,3.452326646
27,27,Rae Bareli,2924.635366,2930.70599,5713.620675,5598.985087,2.584544266,2.5531857
28,28,Farrukhabad,3131.511685,3132.018637,10949.9144,10536.91081,3.341575865,3.27742162
29,29,Kannauj,2454.433625,2554.414332,33670.70457,30027.94441,7.476094978,6.783775378
30,30,Etawah,3299.063591,3327.561492,77676.20688,60682.50828,8.447988578,7.402964591
31,31,Auraiya,2837.728265,2867.116799,12026.37402,11537.64153,3.864528791,3.746391293
32,32,Kanpur Dehat,3090.999022,3096.200258,5732.787647,5617.596143,2.449537316,2.420729231
33,33,Kanpur Nagar,2903.522442,2920.991309,11381.26527,10935.14953,3.6742617,3.579992346
34,34,Jalaun,3502.855455,3485.364516,39561.05776,34633.38749,5.67821367,5.339483891
35,35,Jhansi,3820.313375,3798.392985,18258.14627,17151.77784,3.536953515,3.447900117
36,36,Lalitpur,3118.640669,3133.267133,8868.751007,8603.063397,3.01971456,2.960255103
37,37,Hamirpur,2831.961137,2889.166316,23298.2958,21533.11797,5.389826535,5.079031625
38,38,Mahoba,4093.421557,4037.102676,30912.45953,27896.65523,4.29516951,4.137197681
39,39,Banda,2847.864744,2863.3614,7988.603465,7766.993451,3.138456207,3.077870219
40,40,Chitrakoot,3531.44513,3527.832753,38192.71907,33641.94625,5.533983073,5.199152645
41,41,Fatehpur,2929.742287,2933.351003,4683.473705,4606.434401,2.335902027,2.313760549
