SL_no,District_code,District_names,Urban_MPCE,Urban_MPCE_Eblup,Urban_MPCE_Var,Urban_MPCE_Eblup_MSE,Urban_MPCE_RSE,Eblup_cv
1,1,Saharanpur,4984.772888,3610.4188,92353.97912,174800.6976,6.096525994,11.58014504
2,2,Muzaffarnagar,6307.664338,3955.971434,226112.6117,12608.58263,7.538654135,2.838441759
3,3,Bijnor,3562.393669,3838.524677,20800.6678,29656.39633,4.048524099,4.486367559
4,4,Moradabad,4081.063827,3560.53465,26828.67153,6583.360824,4.013527075,2.278812604
5,5,Rampur,4144.868528,3685.233451,47540.47507,124359.8477,5.26042701,9.56918798
6,6,Jyotiba Phule Nagar,3007.779428,3651.902487,47855.96563,27468.37592,7.273141841,4.538343028
7,7,Meerut,5484.961213,4252.363312,18281.59284,25593.97357,2.465093834,3.762170693
8,8,Bagpat,7272.006953,4394.070158,145437.7432,87543.833,5.244260761,6.7335764
9,9,Ghaziabad,5596.984346,4041.897986,21277.19701,7971.510497,2.606172244,2.208945308
10,10,Gautam Buddha Nagar,10676.319,4476.962851,292906.7197,31944.16235,5.069243184,3.992199735
11,11,Bulandshahr,4267.708889,3906.096374,15234.23981,13548.79389,2.892115323,2.979938929
12,12,Aligarh,4226.205617,3609.290773,30483.46669,5770.186061,4.13125074,2.104616823
13,13,Mahamaya Nagar,4448.679978,3555.893789,56657.63196,13371.77446,5.350545286,3.251964087
14,14,Mathura,4111.264931,3514.439055,86205.72704,43424.80942,7.141551884,5.929429969
15,15,Agra,4794.138917,3590.54253,22471.51603,11713.9708,3.126839375,3.014338311
16,16,Firozabad,4174.957246,3100.547809,31312.89345,12811.73961,4.238474432,3.650611514
17,17,Mainpuri,4141.55988,3565.300879,378203.5241,45219.28432,14.84905585,5.964384818
18,18,Badaun,4170.965585,2892.844683,105799.3942,9789.669984,7.798390599,3.420258327
19,19,Bareilly,4617.383249,3552.550829,32676.73025,37473.75175,3.914924341,5.449081296
