,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75
1,0,66.61239061,106.9009344,168.8795959,201.998789,152.2854009,112.8206035,108.1182878,136.9004426,179.069917,190.4506325,238.6292607,272.6404799,267.6349089,335.5311753,328.7892008,347.9137222,260.4694071,247.1219897,285.3363841,317.2786835,363.2232677,424.9891149,389.3129187,474.9909871,480.8326392,551.6634711,339.7589971,392.4809234,392.9562962,418.4926973,454.5387846,465.4940706,469.3767711,507.0747385,601.7766055,523.2769391,558.8473717,583.1269816,634.7901244,561.7314889,622.1179996,625.5637936,677.3786453,500.3251574,569.4962159,635.8313346,614.0170004,450.4061807,491.5807714,550.3546126,539.4483836,600.3908163,608.1101463,642.5829526,659.383658,673.7515525,707.835109,732.846731,698.727962,732.027518,785.7330422,682.5199051,760.3848134,778.16115,733.7744706,709.8661705,744.7668216,823.7288098,298.3756516,276.5923618,62.75588002,196.396697,144.2752361,575.7845808
2,66.61239061,0,70.90516533,120.9773111,157.129755,92.71558313,46.21164669,53.51471951,73.29625698,113.876408,124.0833369,172.1185694,206.1232568,201.962883,268.9202942,262.8791597,284.4633495,201.9465603,198.5866232,244.0032823,265.7171403,320.4612451,376.9014257,334.211684,417.9127557,427.3762199,496.1101758,280.1996678,332.0740823,328.483654,355.6316839,392.9641369,405.9254582,404.7217502,440.7863286,535.1653317,459.7080548,494.3208444,521.7710364,574.7546289,502.853746,568.0885321,567.7665863,621.4417899,450.1584934,520.9068717,588.7898109,563.6362825,409.5556344,451.9332117,510.5421343,494.802937,561.058572,563.8814248,599.7860762,621.95414,632.0018701,669.4466835,690.6900931,651.2660718,686.564366,741.2647508,630.9403171,712.2317234,726.5760888,681.88402,656.0727853,689.9904451,768.7951109,234.0889695,213.8458287,39.67105456,136.0845766,77.74597711,523.2956238
3,106.9009344,70.90516533,0,63.06581499,95.09981039,63.70741863,75.49489545,113.007267,111.9460164,137.1616334,122.311391,167.440998,199.2291183,213.0069724,262.9387828,246.1298367,254.5036323,160.1429161,140.4471003,179.2902254,211.027077,257.0075068,318.0885952,284.2685997,370.8735072,374.749042,446.36148,239.1802583,292.417597,301.8141539,322.5180454,355.7084823,363.7704697,377.8312648,424.1878693,525.4536576,428.0036903,466.0719555,483.1878347,532.909378,458.8427108,516.0420794,521.560033,572.0797829,393.497714,462.5980351,529.04893,507.1706648,344.9695052,386.6835221,445.4707941,433.0118518,495.7682635,501.8186495,536.7093552,555.7109967,568.2443023,603.7379878,627.2382717,591.9170931,625.5259527,679.4740299,575.791838,653.5264657,671.4053533,627.0776525,603.6358417,638.8621179,717.831427,208.8918829,183.3499015,110.09981,102.4745021,89.73327192,469.2939779
4,168.8795959,120.9773111,63.06581499,0,36.46589694,45.56770347,100.3671329,145.2377062,127.6844659,133.1669319,99.74570922,133.053757,159.5500016,186.9222606,220.0237861,196.4655677,196.9638257,99.54549714,78.62222864,123.4562418,148.4007694,199.4880622,257.2210818,221.212527,307.8314941,312.0181612,383.3591935,177.4994633,230.7179976,245.0228305,262.7049595,294.3297199,301.2578318,320.0471593,370.9696614,475.1369628,368.0167525,407.1573219,421.1170771,470.2177981,395.9585295,453.3190301,458.5109881,509.0874616,331.8155668,401.658131,468.8798347,445.5253066,288.6496977,331.1363236,389.6732394,374.1074007,440.2153608,443.1499029,478.8753673,501.3786524,511.0331793,548.6697608,569.7490331,531.5705387,566.181536,620.659085,513.7741461,592.8864026,609.4402649,564.9912566,541.0168171,576.059204,655.0291823,155.4043701,127.8237529,159.9043469,54.55723778,92.95837721,406.9120353
5,201.998789,157.129755,95.09981039,36.46589694,0,78.48866257,136.1391885,181.0485667,161.3461835,161.249529,122.5562401,145.8859813,166.7402722,202.1898122,222.1036884,192.8983684,183.5187669,84.8434364,46.22256258,87.01513433,117.301968,163.4530121,222.9986057,192.2809075,279.7358844,280.7455023,353.2920336,156.3813037,208.6884745,231.658372,244.3115642,272.4772311,276.1953022,304.3051916,360.5225866,467.0070201,348.4352584,389.1161805,396.9388826,443.9294512,368.9208159,421.8903542,429.9768419,478.816718,298.4661261,367.5150663,434.1606596,412.111455,252.4301145,294.8212226,353.4130255,338.6867908,403.9343289,407.6539717,443.0952924,464.9807969,475.0868657,512.3484005,533.8885554,496.9787395,531.0123847,585.259696,480.8524819,558.5123467,576.4292595,532.1664144,509.2516106,544.8342066,623.7738129,149.1164227,120.3802839,196.2372886,68.02619465,125.5256166,374.658064
6,152.2854009,92.71558313,63.70741863,45.56770347,78.48866257,0,60.07067843,104.3384011,82.88183474,88.72544267,61.55126105,104.1587064,135.5505292,152.5443503,199.2323279,183.4459703,196.3881244,109.3272247,111.4759087,162.6136285,174.7252694,235.3341093,287.0868022,241.6273831,325.2312999,335.0306009,403.4077996,188.0476061,240.4368438,242.5071006,266.4381675,302.2620529,313.8813275,318.9415364,362.1247227,462.313368,371.5156282,408.0159663,430.897737,483.0103947,410.5830049,475.5278585,475.2283032,528.7266661,358.9316761,430.2301278,498.7319781,472.092352,324.7620215,367.6931115,425.6701454,406.4981885,476.2321445,475.5456567,512.2520667,538.2896877,545.0595496,584.8040652,603.2808681,560.8651974,597.145951,652.3020221,538.9110838,621.4141804,634.4803708,589.7300348,563.5189263,597.3135276,676.1002656,148.2999998,124.8075711,128.0338302,44.12351289,47.48326581,431.1001328
7,112.8206035,46.21164669,75.49489545,100.3671329,136.1391885,60.07067843,0,44.91092661,36.81601683,70.54518143,78.17238413,125.9833837,159.9735756,157.0590592,222.7105907,217.2696072,241.1629699,164.5099875,171.5292235,221.9700609,233.8748806,295.3709913,346.5710587,298.2590238,379.7018787,392.1582003,458.8427128,240.6438532,291.3809982,284.1095437,312.6417932,350.9969032,365.6436319,360.0795006,394.7833974,488.9659275,415.9143651,449.7063276,479.7057499,533.6664459,462.84992,531.8056272,528.4812315,583.5123153,417.5159291,489.1366739,557.9285896,530.258495,384.8115683,427.7246387,485.7355103,466.3115806,536.299446,535.3225368,572.1617875,598.3185115,605.0368742,644.8721858,663.1886211,619.8494501,656.5647751,711.8563716,596.3974945,680.1057156,691.792489,646.9666545,619.7416677,652.8251843,731.3741837,190.1720927,171.6904578,72.11446169,98.59648825,31.68921632,488.4007023
8,108.1182878,53.51471951,113.007267,145.2377062,181.0485667,104.3384011,44.91092661,0,36.34303074,78.17568049,106.0310566,148.7169013,181.2845111,165.2681227,240.0724755,241.8022297,272.4095107,204.1422193,215.6973625,266.7232625,276.1525547,339.5503964,389.0491198,337.801147,416.963461,431.8382799,496.7121744,277.3961537,326.3554159,312.3653106,343.8388252,383.7456985,400.6963368,386.976441,414.9737133,503.7132952,444.7939368,476.239751,511.741665,567.051533,497.867215,570.3355447,564.1618494,620.4910928,458.7150214,530.6490281,599.7842743,570.814911,428.9240496,471.9005485,529.7302438,509.2620378,580.2653079,578.1634825,615.2933303,642.4892917,648.3542428,688.8148913,706.2904684,661.3638962,698.7086366,754.2090759,636.1070053,721.1885575,731.2146217,686.3472875,658.0813796,690.4026782,768.6173995,220.8221624,206.0294429,48.83018993,139.613721,65.1462519,528.0564534
9,136.9004426,73.29625698,111.9460164,127.6844659,161.3461835,82.88183474,36.81601683,36.34303074,0,43.00221269,70.74238776,112.3787094,144.9886017,131.46114,204.3295653,205.459773,236.7270528,172.7827025,190.8886429,244.0210367,247.0704672,313.9294145,359.790282,305.6026095,383.1171786,399.5225363,463.0906861,243.633258,291.6506498,276.1708218,308.0363998,348.2456186,365.8913757,350.6605181,379.0061273,468.8469111,408.5940936,439.9030642,475.9807884,531.5793569,462.9450658,537.034133,529.4384381,586.2962264,427.7258576,499.8872621,569.3386531,539.0433294,402.8154269,445.8855816,503.0916659,480.4806258,553.4775197,549.1065717,586.6818157,616.208247,620.0487182,661.8488463,677.540926,630.465875,668.5329671,724.270717,603.5688613,689.7909848,698.3986207,653.5287541,624.5960534,656.4684684,734.4750712,185.1473462,171.5351874,82.88904835,110.7649346,36.45551568,495.5809664
10,179.069917,113.876408,137.1616334,133.1669319,161.249529,88.72544267,70.54518143,78.17568049,43.00221269,0,44.49708162,73.79502571,104.4754295,88.65589759,161.9186397,165.7426957,201.3259996,150.8961164,181.191181,236.0936092,227.9743708,299.9287694,338.8555987,279.2434436,352.3899216,372.2209631,432.5911285,214.2106272,259.1548545,237.9965355,271.7447122,312.9477187,332.7041466,311.2363578,336.9169105,425.8998764,370.0942154,400.0191646,439.4375026,495.9601282,429.1170795,507.0572896,496.0167025,554.1239445,403.0000763,475.269728,545.0767723,512.3023116,387.0455715,429.9513064,485.7915385,459.6112771,535.69808,527.449932,565.6776784,599.0247075,599.4686277,643.4014124,656.0354573,605.1818252,644.5064218,700.5572506,575.0867139,663.4214266,669.1556976,624.3561056,594.0196425,624.8082499,702.2216653,150.3172557,141.2915261,125.8109889,98.67673907,47.43541838,467.5262667
11,190.4506325,124.0833369,122.311391,99.74570922,122.5562401,61.55126105,78.17238413,106.0310566,70.74238776,44.49708162,0,48.41240867,82.35302168,91.14287041,145.9567309,139.1675867,166.4080968,106.733416,137.8532741,192.8616847,183.5944063,255.4907239,294.8715608,236.9190552,312.749438,330.4701171,392.8285403,173.4819972,220.9322022,207.3249126,237.8910122,277.720689,295.1527032,282.7940558,316.7030151,412.1012777,339.6218485,372.3658023,405.7476485,461.037057,392.2039486,466.9641645,458.7028375,515.6944349,360.1477836,432.4291817,502.1457034,470.3729612,342.5522277,385.4656522,441.3878637,415.6979786,491.3481604,483.7444059,521.8388268,554.6333054,555.5528152,599.1494435,612.3390443,562.6592572,601.5329907,657.4961875,534.0928733,621.3808084,628.6417164,583.7868355,554.3675977,585.9742312,663.8801751,114.834679,100.9776158,147.5492208,56.30236244,46.489603,426.2437054
12,238.6292607,172.1185694,167.440998,133.053757,145.8859813,104.1587064,125.9833837,148.7169013,112.3787094,73.79502571,48.41240867,0,34.01141241,56.64239193,97.59010894,93.10098264,127.9933477,98.08976941,146.0784812,198.913928,173.3473283,250.0368942,278.3543632,213.1338169,281.3432811,304.0801786,361.4227308,145.8647928,187.2880671,164.3586786,198.0103443,239.4125775,260.066857,238.3211016,268.902022,363.688896,296.6377803,327.5243885,365.6451385,422.2561782,355.9950674,436.0816423,423.0057417,481.674137,337.2710564,409.1762088,479.0138372,443.979728,332.5746979,374.6275686,428.0848798,397.7682287,476.9915871,464.2432964,502.9963157,540.6443504,537.1001405,583.2808355,592.424473,537.9111472,578.3343449,634.5428979,505.101631,595.0178179,598.4350367,553.751504,522.4802839,552.5726973,629.6128189,77.80349631,74.97995745,193.2858609,79.57121946,94.37323004,398.1987852
13,272.6404799,206.1232568,199.2291183,159.5500016,166.7402722,135.5505292,159.9735756,181.2845111,144.9886017,104.4754295,82.35302168,34.01141241,0,52.1219738,64.06877307,61.44192942,103.7163887,103.0505618,158.0578199,207.171447,171.1637753,248.9062524,268.5391372,199.0333971,260.0000494,286.3926975,339.4129444,130.9889762,165.6068892,134.7064122,170.6845589,212.9478015,236.0176317,206.8427789,235.0431682,329.8068391,266.1026785,295.5441892,337.051327,394.4697301,330.3724269,414.0685393,397.4858638,457.1920349,321.9074951,392.9530338,462.4901872,425.2399008,326.8037426,367.77536,419.0055612,385.5465543,466.8402855,450.4387453,489.4717058,530.4390032,523.7054231,571.5586367,577.7746748,519.9721285,561.3747375,617.5943143,484.2034199,575.7372158,576.3928381,531.9460289,499.4261581,528.3495233,604.6194386,59.27423686,69.34601926,226.6849146,104.9945861,128.3799903,378.4871058
14,267.6349089,201.962883,213.0069724,186.9222606,202.1898122,152.5443503,157.0590592,165.2681227,131.46114,88.65589759,91.14287041,56.64239193,52.1219738,0,81.719809,101.9127035,151.5799416,150.8563349,201.9916262,253.845538,222.29028,299.9525254,320.6189412,250.6118814,307.9627986,336.4294848,386.4464595,182.6909614,214.160073,174.7277253,213.5510208,256.2763453,281.84155,240.4187531,254.8898283,338.8500937,301.3284983,326.035854,375.7917081,434.2855253,373.7169411,460.8334429,440.6147501,501.3561871,372.8107301,443.3931475,512.6949052,474.3447586,378.8179788,419.8755419,471.0853441,437.231391,518.8127863,501.6739929,540.7571688,582.3868371,575.0046632,623.2428537,628.6331268,569.3848522,611.2573711,667.4306993,531.7093784,624.2599965,622.7688345,578.6104854,544.9993673,572.6154673,647.8053933,111.0348835,120.4512146,213.7485683,135.0120355,128.4568033,427.0951315
15,335.5311753,268.9202942,262.9387828,220.0237861,222.1036884,199.2323279,222.7105907,240.0724755,204.3295653,161.9186397,145.9567309,97.59010894,64.06877307,81.719809,0,41.63591298,93.67413073,145.9951135,204.2307909,246.1275014,196.7699513,271.6570947,274.666124,200.3434434,241.1838707,275.2124468,316.4611833,138.2328461,152.2561538,99.94550728,140.459836,182.5185696,211.2733379,159.5296942,175.1619867,266.2953964,220.6695375,244.3408267,296.4786941,355.4136896,298.3357134,389.6914977,364.5457746,426.160157,314.7185785,382.2057791,449.9492841,408.3326957,338.6659484,376.5966063,422.5233655,383.4041894,467.48884,443.8742388,482.9516132,530.1876405,517.0477237,567.8403574,567.9525774,503.6263117,546.7647015,602.5351457,461.5371383,555.872771,550.1796251,506.6632409,471.4728791,497.2711109,571.0885894,80.98280239,106.749137,287.0644078,165.8761013,191.3746614,360.1789239
